vec_key,display_name_ja,color_code
4-t-butyl cyclohexyl acetate,,#d4c5e9
absinthe,アブサン,#7ba05b
absolute,アブソリュート,#f0e68c
acacia,アカシア,#d4a017
acetate,アセテート,#e0c5a6
acetic,酢酸,#fafad2
acetoin,アセトイン,#c0c0c0
acetone,アセトン,#b0c4de
acetophenone,アセトフェノン,#ffa07a
acid,酸,#ff4500
acidic,酸性,#ff6347
acorn,どんぐり,#8b4513
acrid,刺激臭のある,#808080
acrylate,アクリレート,#4682b4
acrylic,アクリル,#ffa500
adoxal,アドクサル,#708090
air marine,エアマリン,#87ceeb
alcohol,アルコール,#f5f5dc
alcoholic,アルコール性,#f4a460
aldehyde,アルデヒド,#deb887
aldehydic,アルデヒド性,#d2b48c
algae,藻類,#556b2f
alkaline,アルカリ性,#e0ffff
alkane,アルカン,#d3d3d3
alliaceous,ネギのような,#98fb98
allo-ocimenol,アロオシメノール,#afeeee
allspice,オールスパイス,#8b4513
almond,アーモンド,#f4a460
almond shell,アーモンドの殻,#d2b48c
almondshell,アーモンドシェル,#d2b48c
almost odorless,ほとんど無臭,#f0fff0
amber,アンバー,#ffbf00
ambergris,アンバーグリス,#bdb76b
ambrette,アンブレット,#8fbc8f
ambrette seed,アンブレットシード,#daa520
ambrette seed effect,アンブレットシードの効果,#cd853f
amine,アミン,#6495ed
ammonia,アンモニア,#add8e6
ammoniacal,アンモニア性,#87cefa
amyl butyl ester,アミルブチルエステル,#ffe4b5
amyris,アミリス,#ffe4c4
angelic,天使のような,#f8f8ff
angelica,アンゼリカ,#d4a017
animal,動物,#8b0000
anise,アニス,#ffdab9
aniseed,アニスシード,#ffefd5
anisic,アニシック,#fffacd
anisyl acetate,アニシルアセテート,#eedd82
apple,リンゴ,#ff6347
apple juice,リンゴジュース,#ffd700
apple peel,リンゴの皮,#cd5c5c
apple skin,リンゴの皮,#f08080
apple.rose,アップルローズ,#ff9999
applepeel,リンゴの皮,#cd5c5c
apricot,アプリコット,#f0a500
armoise,アルモワーズ,#6b8e23
aromatic,芳香性,#dda0dd
arrack,アラック,#deb887
artichoke,アーティチョーク,#98fb98
asprin,アスピリン,#d3d3d3
astringent,渋味,#ffcccb
autumn,秋,#ff8c00
azalea,ツツジ,#ff69b4
bacon,ベーコン,#8b0000
baked,焼いた,#cd853f
balsam,バルサム,#8fbc8f
balsamic,芳醇,#daa520
banana,バナナ,#ffe135
banana peel,バナナの皮,#ffec8b
banana skin,バナナの皮膚,#ffebcd
bark,樹皮,#8b4513
barley,大麦,#d2b48c
basil,バジル,#228b22
bay oil,月桂樹オイル,#556b2f
bean,豆,#deb887
beany,豆のような,#d2b48c
beef,牛肉,#8b0000
beef gravey,牛肉のグレービー,#cd5c5c
beef juice,牛肉ジュース,#b22222
beefy,肉のような,#8b4513
beer,ビール,#f4a460
beeswax,蜜蝋,#ffd700
beet,ビート,#8b0000
bell,ベル,#ffa500
benzaldehyde,ベンズアルデヒド,#ff6347
benzophenone,ベンゾフェノン,#ffa07a
benzyl acetate,ベンジルアセテート,#eedd82
benzyl propionate,ベンジルプロピオン酸エステル,#ffe4b5
bergamot,ベルガモット,#ffcc33
berry,ベリー,#8b0000
bilberry,ビルベリー,#4b0082
bisabolene,ビサボレン,#d3d3d3
biscuit,ビスケット,#f5deb3
bitter,苦い,#a0522d
bitter almond,苦いアーモンド,#d2b48c
bitteralmond,ビターアーモンド,#d2b48c
black currant,カシス,#4b0082
black tea,紅茶,#8b4513
blackberry,ブラックベリー,#4b0082
blackcurrant,ブラックカラント,#4b0082
bland,淡白,#f5f5f5
bloody,血のような,#ff0000
bloomy,花のような,#ffa07a
blossom,花,#ffb6c1
blue cheese,ブルーチーズ,#4682b4
bluebell,ブルーベル,#6a5acd
blueberry,ブルーベリー,#4b0082
boiled beef,茹でた牛肉,#cd5c5c
boiled egg,茹で卵,#fffacd
boiled meat,茹でた肉,#deb887
boiled shrimp,茹でたエビ,#ffa07a
boiled vegetable,茹で野菜,#98fb98
boiledvegetable,ボイルドベジタブル,#98fb98
bois de rose,ローズウッド,#8b0000
borneol,ボルネオール,#b0e0e6
boronia,ボロニア,#dda0dd
bouillon,ブイヨン,#ffcc00
bourbon,バーボン,#cd853f
box tree,ツゲ,#556b2f
boxtree,ツゲ,#556b2f
brandy,ブランデー,#d2691e
brassylate,ブラスシレート,#d3d3d3
bread,パン,#f5deb3
bread crust,パンの耳,#cd853f
bready,パンのような,#f4a460
broccoli,ブロッコリー,#228b22
broom,ホウキ,#deb887
broth,出汁,#ffcc00
brothy,出汁のような,#cd853f
brown,茶色,#a52a2a
brown sugar,黒砂糖,#8b4513
brownsugar,ブラウンシュガー,#8b4513
brussel sprouts,芽キャベツ,#6b8e23
buchu,ブク,#98fb98
burnt,焦げた,#8b0000
burnt almonds,焦げたアーモンド,#d2b48c
burnt sugar,焦げた砂糖,#8b4513
burntsugar,焦げ砂糖,#8b4513
butter,バター,#fffacd
buttered,バターを塗った,#ffd700
buttermilk,バターミルク,#fffacd
butterscotch,バタースコッチ,#daa520
buttery,バターのような,#ffd700
butyrate,酪酸塩,#f5deb3
butyric,酪酸,#deb887
cabbage,キャベツ,#6b8e23
cacao,カカオ,#8b4513
caco,カコ,#8b4513
cadaverous,死体のような,#d3d3d3
cake,ケーキ,#f4a460
camomile,カモミール,#fffacd
camphor,樟脳,#add8e6
camphoraceous,樟脳のような,#87ceeb
camphoreous,樟脳の香り,#87ceeb
cananga,カナンガ,#ffd700
candy,キャンディー,#ff69b4
cantaloupe,カンタロープ,#ffa07a
cantaloupe rind,カンタロープの皮,#ff6347
capers,ケーパー,#556b2f
caramel,キャラメル,#d2691e
caramellic,キャラメルのような,#d2691e
carao,カラオ,#deb887
caraway,キャラウェイ,#98fb98
cardamom,カルダモン,#556b2f
cardboard,段ボール,#a0522d
carnation,カーネーション,#ffb6c1
carrot,ニンジン,#ff8c00
carvone,カルボン,#deb887
cashew,カシューナッツ,#f4a460
casky,樽のような,#8b4513
